ID_Funcionario,Departamento,Nivel_Acesso,Data_Hora,Arquivo_Acessado,IP_Origem,Pais
FUNC936,RH,Diretor,2026-04-17 18:59:49,lista_clientes.csv,64.188.222.61,Brasil
FUNC509,RH,Gerente,2026-04-08 23:39:49,relatorio_mensal.xlsx,143.241.213.237,Brasil
FUNC888,RH,Diretor,2026-03-28 11:51:49,relatorio_mensal.xlsx,82.123.118.253,Brasil
FUNC789,Vendas,Diretor,2026-03-20 20:33:49,relatorio_mensal.xlsx,254.72.224.47,Brasil
FUNC481,TI,Gerente,2026-04-01 00:26:49,folha_pagamento.pdf,10.94.203.251,Russia
FUNC533,Financeiro,Analista,2026-04-04 17:17:49,folha_pagamento.pdf,69.77.89.196,Russia
FUNC207,TI,Gerente,2026-04-19 07:33:49,folha_pagamento.pdf,85.177.90.128,China
FUNC783,RH,Analista,2026-03-21 15:30:49,lista_clientes.csv,78.31.250.189,China
FUNC530,TI,Diretor,2026-04-08 01:04:49,lista_clientes.csv,188.146.225.50,China
FUNC575,Financeiro,Estagiario,2026-04-03 06:29:49,planejamento_estrategico.pptx,119.186.226.69,EUA
FUNC865,Operacoes,Gerente,2026-03-29 17:22:49,relatorio_mensal.xlsx,246.188.185.84,Brasil
FUNC952,Vendas,Estagiario,2026-04-17 16:51:49,codigo_fonte.git,170.242.135.120,Brasil
FUNC463,Vendas,Diretor,2026-03-28 17:06:49,lista_clientes.csv,10.104.158.126,Brasil
FUNC463,Operacoes,Diretor,2026-04-08 14:19:49,codigo_fonte.git,183.99.2.66,Brasil
FUNC283,Financeiro,Diretor,2026-03-26 05:48:49,folha_pagamento.pdf,59.151.65.203,EUA
FUNC709,Operacoes,Estagiario,2026-04-09 20:52:49,lista_clientes.csv,78.175.181.126,China
FUNC430,Operacoes,Estagiario,2026-04-18 23:56:49,folha_pagamento.pdf,64.255.77.150,EUA
FUNC561,Operacoes,Estagiario,2026-03-30 07:23:49,lista_clientes.csv,183.72.32.161,Brasil
FUNC698,RH,Estagiario,2026-04-01 18:46:49,lista_clientes.csv,129.202.147.167,Russia
FUNC223,RH,Analista,2026-04-10 20:05:49,lista_clientes.csv,223.41.111.126,Brasil
FUNC213,Financeiro,Diretor,2026-03-24 13:32:49,relatorio_mensal.xlsx,200.249.106.36,Brasil
FUNC403,Operacoes,Estagiario,2026-03-24 15:08:49,relatorio_mensal.xlsx,140.1.158.26,Brasil
FUNC340,TI,Estagiario,2026-04-14 22:29:49,relatorio_mensal.xlsx,229.252.30.7,Brasil
FUNC617,TI,Estagiario,2026-03-20 01:03:49,codigo_fonte.git,43.53.120.158,Brasil
FUNC549,Vendas,Gerente,2026-03-29 12:23:49,relatorio_mensal.xlsx,28.185.190.116,Brasil
FUNC863,Financeiro,Diretor,2026-04-15 22:36:49,planejamento_estrategico.pptx,105.45.17.145,Brasil
FUNC469,Operacoes,Diretor,2026-03-28 14:11:49,codigo_fonte.git,253.192.174.219,China
FUNC271,Financeiro,Diretor,2026-04-18 14:10:49,codigo_fonte.git,51.112.232.52,Brasil
FUNC229,RH,Diretor,2026-03-21 14:16:49,folha_pagamento.pdf,58.56.158.229,China
FUNC441,Vendas,Diretor,2026-04-09 06:40:49,codigo_fonte.git,129.137.221.219,Brasil
FUNC283,Financeiro,Estagiario,2026-04-02 09:26:49,relatorio_mensal.xlsx,139.55.112.222,Brasil
FUNC917,TI,Gerente,2026-04-01 20:11:49,planejamento_estrategico.pptx,191.182.163.159,Brasil
FUNC999,Financeiro,Gerente,2026-04-02 13:26:49,relatorio_mensal.xlsx,28.244.185.114,Brasil
FUNC265,Operacoes,Gerente,2026-03-31 03:01:49,codigo_fonte.git,193.53.161.250,Brasil
FUNC430,RH,Diretor,2026-03-31 23:03:49,relatorio_mensal.xlsx,85.234.40.78,Brasil
FUNC338,Financeiro,Estagiario,2026-04-02 02:48:49,relatorio_mensal.xlsx,5.133.182.230,Brasil
FUNC875,Operacoes,Analista,2026-03-23 04:22:49,folha_pagamento.pdf,198.19.63.157,China
FUNC901,Operacoes,Analista,2026-04-17 23:22:49,planejamento_estrategico.pptx,120.114.213.177,Brasil
FUNC536,Financeiro,Diretor,2026-03-19 23:28:49,relatorio_mensal.xlsx,162.235.101.187,Brasil
FUNC265,Financeiro,Gerente,2026-04-19 13:22:49,codigo_fonte.git,227.169.201.244,Brasil
FUNC222,RH,Estagiario,2026-04-01 16:49:49,codigo_fonte.git,227.128.84.45,Russia
FUNC581,Financeiro,Analista,2026-04-12 10:27:49,folha_pagamento.pdf,206.78.219.123,Russia
FUNC750,Operacoes,Analista,2026-04-06 11:52:49,lista_clientes.csv,160.51.27.50,Brasil
FUNC371,Vendas,Gerente,2026-04-08 02:02:49,lista_clientes.csv,229.141.93.214,Brasil
FUNC174,Operacoes,Estagiario,2026-04-05 20:53:49,relatorio_mensal.xlsx,105.204.164.104,EUA
FUNC187,Financeiro,Analista,2026-04-11 01:06:49,codigo_fonte.git,86.174.15.90,Russia
FUNC699,TI,Estagiario,2026-04-16 14:36:49,lista_clientes.csv,232.251.218.188,Brasil
FUNC348,Vendas,Analista,2026-04-12 14:11:49,lista_clientes.csv,77.13.103.225,EUA
FUNC497,RH,Gerente,2026-03-26 09:16:49,planejamento_estrategico.pptx,17.125.27.167,Brasil
FUNC966,Vendas,Analista,2026-04-18 17:47:49,planejamento_estrategico.pptx,170.233.5.70,Brasil
FUNC882,Financeiro,Estagiario,2026-04-19 18:31:49,folha_pagamento.pdf,1.183.113.245,China
FUNC448,TI,Gerente,2026-04-14 20:26:49,folha_pagamento.pdf,113.5.240.154,Russia
FUNC566,Financeiro,Analista,2026-04-07 08:37:49,relatorio_mensal.xlsx,129.165.53.86,Brasil
FUNC111,Vendas,Diretor,2026-04-16 20:31:49,relatorio_mensal.xlsx,203.78.107.120,Brasil
FUNC777,RH,Analista,2026-03-23 08:28:49,codigo_fonte.git,203.2.113.145,China
FUNC751,Operacoes,Diretor,2026-04-07 08:21:49,planejamento_estrategico.pptx,251.252.160.142,China
FUNC327,RH,Estagiario,2026-04-13 20:37:49,lista_clientes.csv,35.201.232.250,Brasil
FUNC723,Vendas,Diretor,2026-04-05 07:27:49,lista_clientes.csv,98.203.75.91,China
FUNC576,RH,Gerente,2026-04-03 13:52:49,relatorio_mensal.xlsx,21.4.31.243,EUA
FUNC522,RH,Diretor,2026-04-12 16:34:49,planejamento_estrategico.pptx,94.156.53.149,Brasil
FUNC215,Financeiro,Estagiario,2026-03-20 07:12:49,codigo_fonte.git,203.181.73.20,Brasil
FUNC904,Vendas,Analista,2026-04-06 13:27:49,lista_clientes.csv,78.22.178.255,EUA
FUNC915,RH,Gerente,2026-03-24 17:49:49,folha_pagamento.pdf,117.130.103.132,Russia
FUNC450,Operacoes,Estagiario,2026-03-29 17:47:49,relatorio_mensal.xlsx,43.233.254.244,Russia
FUNC865,Vendas,Analista,2026-04-15 15:51:49,codigo_fonte.git,186.200.38.76,Brasil
FUNC382,TI,Gerente,2026-04-18 13:18:49,codigo_fonte.git,30.74.74.52,Brasil
FUNC312,TI,Gerente,2026-04-12 23:39:49,folha_pagamento.pdf,118.228.32.255,Brasil
FUNC115,RH,Estagiario,2026-03-31 12:43:49,codigo_fonte.git,165.98.113.145,Brasil
FUNC860,Financeiro,Diretor,2026-04-16 11:26:49,folha_pagamento.pdf,248.217.21.67,Russia
FUNC140,Operacoes,Gerente,2026-04-06 05:11:49,lista_clientes.csv,76.191.95.74,Brasil
FUNC813,TI,Diretor,2026-04-14 18:20:49,relatorio_mensal.xlsx,5.205.90.253,China
FUNC563,Vendas,Diretor,2026-03-20 21:07:49,planejamento_estrategico.pptx,196.124.80.161,China
FUNC201,Financeiro,Diretor,2026-03-23 17:52:49,planejamento_estrategico.pptx,89.140.217.14,China
FUNC247,Operacoes,Analista,2026-04-05 01:41:49,folha_pagamento.pdf,91.70.235.92,Brasil
FUNC984,Financeiro,Analista,2026-04-04 17:30:49,folha_pagamento.pdf,217.172.56.73,China
FUNC175,Vendas,Gerente,2026-04-15 11:51:49,folha_pagamento.pdf,185.97.173.129,Brasil
FUNC246,Operacoes,Estagiario,2026-03-27 16:22:49,codigo_fonte.git,110.56.96.17,Brasil
FUNC378,Financeiro,Diretor,2026-03-31 19:06:49,planejamento_estrategico.pptx,207.151.234.187,Russia
FUNC117,Financeiro,Analista,2026-04-06 04:12:49,lista_clientes.csv,130.248.108.157,Brasil
FUNC378,Operacoes,Diretor,2026-04-14 07:43:49,relatorio_mensal.xlsx,249.189.76.12,Brasil
FUNC940,Operacoes,Estagiario,2026-04-16 01:58:49,planejamento_estrategico.pptx,75.200.60.196,China
FUNC579,Vendas,Diretor,2026-04-14 12:58:49,relatorio_mensal.xlsx,217.104.124.232,Russia
FUNC412,Financeiro,Diretor,2026-04-09 05:25:49,planejamento_estrategico.pptx,22.172.175.161,Brasil
FUNC497,RH,Estagiario,2026-04-07 22:30:49,lista_clientes.csv,102.186.223.139,Russia
FUNC764,Financeiro,Diretor,2026-03-20 13:13:49,folha_pagamento.pdf,27.20.154.176,EUA
FUNC784,TI,Analista,2026-03-26 16:26:49,planejamento_estrategico.pptx,199.190.144.98,Brasil
FUNC358,TI,Analista,2026-04-09 16:14:49,lista_clientes.csv,35.22.133.52,EUA
FUNC941,Financeiro,Gerente,2026-04-02 07:34:49,relatorio_mensal.xlsx,32.214.116.137,China
FUNC625,Operacoes,Gerente,2026-03-27 02:33:49,lista_clientes.csv,25.74.88.191,Brasil
FUNC226,Operacoes,Estagiario,2026-03-22 08:15:49,planejamento_estrategico.pptx,161.34.107.160,Brasil
FUNC866,Vendas,Gerente,2026-04-06 13:26:49,lista_clientes.csv,144.127.82.244,Russia
FUNC311,Vendas,Analista,2026-04-08 13:28:49,relatorio_mensal.xlsx,236.148.57.146,Brasil
FUNC951,Operacoes,Gerente,2026-04-19 01:32:49,codigo_fonte.git,75.42.108.12,China
FUNC863,RH,Diretor,2026-04-02 16:14:49,folha_pagamento.pdf,122.246.184.142,China
FUNC514,Financeiro,Analista,2026-04-04 04:04:49,codigo_fonte.git,135.30.49.158,Brasil
FUNC751,TI,Estagiario,2026-03-21 13:37:49,folha_pagamento.pdf,244.183.185.180,Brasil
FUNC248,Vendas,Estagiario,2026-04-04 00:25:49,lista_clientes.csv,145.227.84.37,EUA
FUNC134,Financeiro,Estagiario,2026-04-04 20:58:49,codigo_fonte.git,208.59.244.132,China
FUNC369,TI,Diretor,2026-03-30 02:34:49,folha_pagamento.pdf,255.74.218.75,Russia
FUNC435,Operacoes,Diretor,2026-03-31 18:20:49,lista_clientes.csv,220.55.148.85,China
FUNC626,Operacoes,Gerente,2026-04-10 02:24:49,folha_pagamento.pdf,135.64.223.26,Brasil
FUNC661,Vendas,Analista,2026-04-12 13:40:49,planejamento_estrategico.pptx,68.79.9.112,Brasil
FUNC801,TI,Gerente,2026-04-16 07:16:49,folha_pagamento.pdf,76.180.52.42,Brasil
FUNC167,Financeiro,Gerente,2026-04-14 07:17:49,relatorio_mensal.xlsx,33.109.80.225,Brasil
FUNC976,Vendas,Estagiario,2026-04-17 22:07:49,codigo_fonte.git,159.117.163.31,Russia
FUNC182,Operacoes,Diretor,2026-03-21 20:29:49,codigo_fonte.git,77.244.162.96,Brasil
FUNC513,Financeiro,Gerente,2026-04-02 03:59:49,planejamento_estrategico.pptx,66.220.64.242,EUA
FUNC585,TI,Diretor,2026-04-03 16:03:49,codigo_fonte.git,187.36.68.197,Brasil
FUNC679,Vendas,Estagiario,2026-04-18 05:24:49,codigo_fonte.git,238.114.213.5,Brasil
FUNC322,Financeiro,Estagiario,2026-03-28 14:53:49,relatorio_mensal.xlsx,249.172.95.251,China
FUNC529,TI,Gerente,2026-04-09 02:10:49,folha_pagamento.pdf,127.142.156.73,Brasil
FUNC836,TI,Analista,2026-04-11 22:15:49,codigo_fonte.git,48.98.44.211,Brasil
FUNC342,TI,Diretor,2026-04-04 19:57:49,relatorio_mensal.xlsx,224.202.169.52,EUA
FUNC580,TI,Analista,2026-04-02 14:16:49,planejamento_estrategico.pptx,109.80.39.21,Russia
FUNC823,Operacoes,Estagiario,2026-03-22 10:00:49,folha_pagamento.pdf,42.29.124.2,Brasil
FUNC985,Financeiro,Estagiario,2026-04-06 13:14:49,codigo_fonte.git,60.17.98.140,China
FUNC230,Financeiro,Analista,2026-04-11 02:34:49,folha_pagamento.pdf,119.9.30.197,Russia
FUNC331,Vendas,Estagiario,2026-04-13 04:20:49,codigo_fonte.git,215.34.39.169,Russia
FUNC843,Financeiro,Gerente,2026-04-19 06:50:49,planejamento_estrategico.pptx,165.65.221.177,EUA
FUNC454,TI,Estagiario,2026-03-28 09:31:49,relatorio_mensal.xlsx,152.149.178.22,China
FUNC854,RH,Gerente,2026-04-04 08:55:49,codigo_fonte.git,80.169.213.78,Brasil
FUNC324,TI,Gerente,2026-03-31 16:01:49,folha_pagamento.pdf,146.158.165.227,Brasil
FUNC113,TI,Analista,2026-03-20 04:14:49,planejamento_estrategico.pptx,136.12.59.140,Russia
FUNC437,Vendas,Diretor,2026-04-07 10:10:49,lista_clientes.csv,94.116.160.103,Brasil
FUNC207,Operacoes,Estagiario,2026-04-10 15:55:49,folha_pagamento.pdf,251.40.111.14,EUA
FUNC800,RH,Gerente,2026-03-29 09:10:49,planejamento_estrategico.pptx,49.9.16.60,EUA
FUNC812,Financeiro,Gerente,2026-04-14 05:47:49,relatorio_mensal.xlsx,24.23.116.121,China
FUNC533,RH,Analista,2026-03-31 02:33:49,lista_clientes.csv,224.235.232.156,EUA
FUNC532,Vendas,Diretor,2026-04-19 02:38:49,folha_pagamento.pdf,85.75.159.236,China
FUNC912,Vendas,Analista,2026-03-28 02:10:49,planejamento_estrategico.pptx,102.210.217.180,China
FUNC625,RH,Estagiario,2026-03-30 08:04:49,lista_clientes.csv,199.85.79.36,Brasil
FUNC293,RH,Diretor,2026-03-26 17:33:49,planejamento_estrategico.pptx,157.32.73.66,EUA
FUNC501,TI,Estagiario,2026-04-14 20:47:49,relatorio_mensal.xlsx,51.252.211.40,Brasil
FUNC502,RH,Analista,2026-04-07 01:29:49,lista_clientes.csv,47.213.142.222,Brasil
FUNC925,TI,Estagiario,2026-04-19 08:13:49,codigo_fonte.git,44.9.223.237,China
FUNC863,TI,Diretor,2026-04-11 18:12:49,planejamento_estrategico.pptx,145.154.222.128,Brasil
FUNC502,Operacoes,Analista,2026-03-29 07:20:49,folha_pagamento.pdf,251.177.254.239,China
FUNC795,Vendas,Gerente,2026-04-01 18:23:49,planejamento_estrategico.pptx,1.212.253.37,Brasil
FUNC461,TI,Diretor,2026-04-14 08:16:49,planejamento_estrategico.pptx,54.149.178.81,Brasil
FUNC639,Financeiro,Estagiario,2026-04-06 12:22:49,relatorio_mensal.xlsx,188.120.11.139,China
FUNC530,Financeiro,Diretor,2026-04-15 00:19:49,planejamento_estrategico.pptx,168.114.248.192,EUA
FUNC651,RH,Analista,2026-04-09 22:05:49,lista_clientes.csv,254.20.140.207,Brasil
FUNC114,Financeiro,Gerente,2026-04-07 08:26:49,lista_clientes.csv,219.5.66.190,Russia
FUNC905,TI,Diretor,2026-04-15 22:16:49,codigo_fonte.git,31.85.14.131,EUA
FUNC928,TI,Estagiario,2026-03-21 03:52:49,planejamento_estrategico.pptx,140.188.225.84,China
FUNC533,Operacoes,Analista,2026-04-08 17:13:49,folha_pagamento.pdf,145.226.25.205,Russia
FUNC602,Vendas,Estagiario,2026-04-05 18:07:49,planejamento_estrategico.pptx,90.249.92.182,Brasil
FUNC959,RH,Diretor,2026-04-09 02:56:49,planejamento_estrategico.pptx,90.119.71.133,Russia
FUNC789,Vendas,Gerente,2026-03-23 16:03:49,lista_clientes.csv,169.216.115.120,China
FUNC140,Financeiro,Gerente,2026-03-29 20:35:49,lista_clientes.csv,241.211.43.41,EUA
FUNC160,TI,Gerente,2026-03-24 16:44:49,lista_clientes.csv,210.188.72.98,Brasil
FUNC736,Operacoes,Gerente,2026-03-26 12:12:49,planejamento_estrategico.pptx,181.44.219.138,China
FUNC643,RH,Gerente,2026-04-07 15:12:49,planejamento_estrategico.pptx,193.211.194.171,Brasil
FUNC515,Financeiro,Gerente,2026-04-02 05:21:49,relatorio_mensal.xlsx,11.217.136.150,Russia
FUNC636,TI,Analista,2026-03-27 14:57:49,relatorio_mensal.xlsx,239.61.78.169,Brasil
FUNC429,RH,Gerente,2026-03-30 07:42:49,codigo_fonte.git,109.233.125.157,Brasil
FUNC962,Operacoes,Estagiario,2026-04-19 04:24:49,relatorio_mensal.xlsx,193.154.4.130,Russia
FUNC195,Vendas,Gerente,2026-04-16 23:40:49,relatorio_mensal.xlsx,251.238.98.252,Brasil
FUNC623,TI,Estagiario,2026-04-02 05:17:49,planejamento_estrategico.pptx,150.230.234.136,Brasil
FUNC349,TI,Analista,2026-03-27 21:56:49,folha_pagamento.pdf,196.20.43.179,Brasil
FUNC961,Vendas,Analista,2026-04-06 13:03:49,lista_clientes.csv,105.113.68.183,Brasil
FUNC229,Financeiro,Diretor,2026-04-14 07:29:49,relatorio_mensal.xlsx,170.243.87.223,EUA
FUNC756,TI,Gerente,2026-04-02 17:56:49,relatorio_mensal.xlsx,179.150.79.212,China
FUNC651,Operacoes,Analista,2026-04-01 06:24:49,folha_pagamento.pdf,142.198.60.94,Brasil
FUNC128,RH,Gerente,2026-04-03 12:23:49,codigo_fonte.git,103.10.20.120,Russia
FUNC768,TI,Gerente,2026-04-19 02:36:49,lista_clientes.csv,107.112.187.70,Brasil
FUNC356,Vendas,Estagiario,2026-03-29 12:26:49,codigo_fonte.git,62.100.159.65,Brasil
FUNC312,TI,Diretor,2026-04-17 18:43:49,relatorio_mensal.xlsx,237.176.242.26,Russia
FUNC337,TI,Analista,2026-03-23 00:30:49,codigo_fonte.git,8.162.173.53,Brasil
FUNC673,Financeiro,Gerente,2026-04-02 14:54:49,lista_clientes.csv,24.71.2.238,Brasil
FUNC819,Vendas,Diretor,2026-04-04 05:09:49,relatorio_mensal.xlsx,151.84.84.70,Brasil
FUNC917,RH,Gerente,2026-04-10 23:52:49,lista_clientes.csv,2.71.160.45,Brasil
FUNC183,Operacoes,Estagiario,2026-03-25 13:29:49,relatorio_mensal.xlsx,254.169.56.181,Brasil
FUNC521,Operacoes,Diretor,2026-03-27 05:32:49,planejamento_estrategico.pptx,223.124.67.18,Brasil
FUNC336,Vendas,Analista,2026-03-26 17:13:49,relatorio_mensal.xlsx,198.251.34.177,EUA
FUNC808,Financeiro,Gerente,2026-04-11 21:04:49,relatorio_mensal.xlsx,104.125.2.28,Brasil
FUNC495,RH,Diretor,2026-03-31 02:24:49,planejamento_estrategico.pptx,27.178.187.71,Russia
FUNC114,Financeiro,Estagiario,2026-04-06 10:49:49,lista_clientes.csv,240.123.99.202,Brasil
FUNC877,RH,Estagiario,2026-04-17 08:40:49,planejamento_estrategico.pptx,78.108.188.227,Brasil
FUNC118,TI,Analista,2026-04-07 10:43:49,planejamento_estrategico.pptx,73.194.111.52,Brasil
FUNC279,Financeiro,Estagiario,2026-04-03 17:20:49,relatorio_mensal.xlsx,251.165.188.207,Brasil
FUNC596,Vendas,Gerente,2026-04-03 04:49:49,folha_pagamento.pdf,206.169.196.61,Brasil
FUNC629,Vendas,Estagiario,2026-03-24 22:28:49,lista_clientes.csv,10.208.149.65,China
FUNC428,Vendas,Diretor,2026-03-31 10:54:49,relatorio_mensal.xlsx,88.239.102.246,China
FUNC964,TI,Estagiario,2026-04-15 23:42:49,planejamento_estrategico.pptx,150.54.248.110,EUA
FUNC664,Operacoes,Diretor,2026-04-18 02:55:49,lista_clientes.csv,121.25.236.18,Brasil
FUNC856,Vendas,Diretor,2026-03-20 10:27:49,folha_pagamento.pdf,217.47.149.177,Brasil
FUNC636,Operacoes,Estagiario,2026-04-14 12:20:49,planejamento_estrategico.pptx,201.203.211.47,Brasil
FUNC470,TI,Analista,2026-03-25 15:27:49,codigo_fonte.git,173.54.41.245,Brasil
FUNC376,Financeiro,Gerente,2026-04-14 21:01:49,codigo_fonte.git,25.153.56.18,Brasil
FUNC205,Vendas,Estagiario,2026-04-14 11:54:49,codigo_fonte.git,85.83.104.36,Brasil
FUNC339,Operacoes,Gerente,2026-04-17 18:55:49,folha_pagamento.pdf,32.119.190.207,China
FUNC645,TI,Diretor,2026-04-10 15:22:49,codigo_fonte.git,191.183.222.211,Brasil
FUNC605,TI,Estagiario,2026-03-19 23:40:49,folha_pagamento.pdf,26.139.231.146,Brasil
FUNC430,RH,Gerente,2026-03-25 18:44:49,planejamento_estrategico.pptx,30.83.225.197,Brasil
FUNC264,Operacoes,Diretor,2026-04-14 11:18:49,planejamento_estrategico.pptx,144.114.164.132,Russia
FUNC412,Financeiro,Analista,2026-03-21 01:32:49,lista_clientes.csv,110.172.38.67,EUA
FUNC183,TI,Gerente,2026-04-15 09:12:49,relatorio_mensal.xlsx,96.166.58.83,EUA
FUNC667,RH,Estagiario,2026-03-20 09:37:49,planejamento_estrategico.pptx,128.243.149.43,EUA
FUNC769,TI,Estagiario,2026-04-02 20:22:49,planejamento_estrategico.pptx,129.189.29.157,Brasil
FUNC285,Operacoes,Analista,2026-04-08 02:46:49,planejamento_estrategico.pptx,120.244.158.213,Russia
FUNC304,Operacoes,Estagiario,2026-04-12 00:05:49,folha_pagamento.pdf,122.39.114.32,Brasil
FUNC750,Operacoes,Analista,2026-04-06 05:05:49,relatorio_mensal.xlsx,44.139.26.94,Brasil
FUNC611,TI,Estagiario,2026-04-14 21:15:49,codigo_fonte.git,63.220.40.175,China
FUNC498,TI,Analista,2026-04-16 18:12:49,relatorio_mensal.xlsx,45.188.143.17,Russia
FUNC521,TI,Analista,2026-03-22 04:40:49,folha_pagamento.pdf,124.176.87.3,China
FUNC562,Financeiro,Gerente,2026-04-02 21:16:49,lista_clientes.csv,83.7.129.146,China
FUNC836,Operacoes,Diretor,2026-04-02 05:17:49,relatorio_mensal.xlsx,172.188.74.13,EUA
FUNC644,Vendas,Estagiario,2026-04-16 21:43:49,relatorio_mensal.xlsx,224.209.54.52,Brasil
FUNC229,TI,Gerente,2026-03-20 00:05:49,planejamento_estrategico.pptx,252.125.110.244,China
FUNC406,Financeiro,Estagiario,2026-04-06 06:03:49,relatorio_mensal.xlsx,33.251.26.224,Russia
FUNC639,TI,Gerente,2026-04-14 14:58:49,planejamento_estrategico.pptx,49.28.164.45,Russia
FUNC754,Financeiro,Diretor,2026-04-02 22:14:49,codigo_fonte.git,78.221.5.30,Brasil
FUNC184,TI,Gerente,2026-03-27 10:26:49,folha_pagamento.pdf,110.249.36.106,Brasil
FUNC878,TI,Diretor,2026-04-10 19:12:49,planejamento_estrategico.pptx,131.151.215.179,Brasil
FUNC352,Vendas,Diretor,2026-03-26 16:00:49,relatorio_mensal.xlsx,16.236.252.15,EUA
FUNC959,TI,Diretor,2026-04-15 10:01:49,folha_pagamento.pdf,134.45.81.75,Brasil
FUNC354,RH,Analista,2026-04-05 10:08:49,folha_pagamento.pdf,192.115.4.21,Brasil
FUNC639,RH,Diretor,2026-03-20 07:28:49,lista_clientes.csv,209.215.18.27,EUA
FUNC140,Financeiro,Gerente,2026-04-08 05:41:49,lista_clientes.csv,100.134.161.68,Brasil
FUNC771,Financeiro,Estagiario,2026-03-20 23:18:49,lista_clientes.csv,128.221.194.97,Brasil
FUNC605,Operacoes,Diretor,2026-03-28 06:31:49,codigo_fonte.git,87.240.222.138,Russia
FUNC209,Financeiro,Estagiario,2026-04-02 21:01:49,lista_clientes.csv,232.224.76.248,Russia
